millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz
2159,-22.286898,-42.542294,8,861.80,2025/5/15,12:6:9,-0.36,927.76,0.60,-0.01,9.03,-0.01,-0.02,0.02
2359,-22.286898,-42.542292,8,861.80,2025/5/15,12:6:10,-0.24,927.75,0.57,0.06,9.04,-0.01,-0.03,0.03
2559,-22.286898,-42.542292,8,862.00,2025/5/15,12:6:10,-0.36,927.76,0.60,0.03,8.86,-0.01,-0.02,0.02
2759,-22.286898,-42.542292,8,862.00,2025/5/15,12:6:10,-0.47,927.77,0.50,0.02,9.08,-0.01,-0.02,0.02
2959,-22.286898,-42.542292,8,862.00,2025/5/15,12:6:10,-0.28,927.75,0.58,0.06,9.09,-0.01,-0.02,0.02
3159,-22.286898,-42.542292,8,862.00,2025/5/15,12:6:10,-0.26,927.75,0.52,0.06,9.03,-0.01,-0.01,0.03
3359,-22.286899,-42.542292,8,862.00,2025/5/15,12:6:11,-0.22,927.74,0.51,0.03,8.94,-0.01,-0.02,0.02
3559,-22.286899,-42.542292,8,862.30,2025/5/15,12:6:11,-0.25,927.75,0.55,0.06,9.06,-0.01,-0.02,0.02
3759,-22.286899,-42.542292,8,862.30,2025/5/15,12:6:11,-0.23,927.75,0.49,-0.03,9.02,-0.01,-0.02,0.02
3959,-22.286899,-42.542292,8,862.30,2025/5/15,12:6:11,-0.64,927.79,0.57,0.04,9.12,-0.00,-0.02,0.02
4159,-22.286899,-42.542292,8,862.30,2025/5/15,12:6:11,-0.38,927.76,0.57,0.01,9.03,-0.00,-0.02,0.03
4359,-22.286903,-42.542290,8,862.30,2025/5/15,12:6:12,-0.55,927.78,0.47,0.09,9.16,0.00,0.00,0.02
4559,-22.286903,-42.542290,8,862.80,2025/5/15,12:6:12,-0.11,927.73,0.53,0.03,9.04,-0.01,-0.02,0.02
4759,-22.286903,-42.542290,8,862.80,2025/5/15,12:6:12,-0.31,927.75,0.52,0.04,9.03,-0.01,-0.02,0.02
4959,-22.286903,-42.542290,8,862.80,2025/5/15,12:6:12,-0.16,927.74,0.64,0.01,9.00,-0.01,-0.02,0.03
5159,-22.286903,-42.542290,8,862.80,2025/5/15,12:6:12,-0.61,927.74,0.59,0.08,9.01,-0.00,-0.02,0.03
5359,-22.286901,-42.542286,8,862.80,2025/5/15,12:6:13,-0.13,927.73,0.52,0.06,9.14,-0.00,-0.02,0.02
5559,-22.286901,-42.542286,8,862.60,2025/5/15,12:6:13,-0.35,927.76,0.52,0.04,9.00,-0.00,-0.02,0.03
5759,-22.286901,-42.542286,8,862.60,2025/5/15,12:6:13,-0.19,927.74,0.50,0.11,9.00,-0.00,-0.02,0.02
5959,-22.286901,-42.542286,8,862.60,2025/5/15,12:6:13,-0.27,927.75,0.59,0.08,9.07,-0.01,-0.02,0.02
6160,-22.286901,-42.542286,8,862.60,2025/5/15,12:6:13,-0.33,927.76,0.64,0.01,9.09,-0.01,-0.02,0.02
6360,-22.286902,-42.542289,8,862.60,2025/5/15,12:6:14,-0.06,927.73,0.58,-0.03,9.02,-0.00,-0.02,0.02
6560,-22.286902,-42.542289,8,862.80,2025/5/15,12:6:14,-0.44,927.77,0.58,0.04,9.06,-0.00,-0.02,0.03
6760,-22.286902,-42.542289,8,862.80,2025/5/15,12:6:14,-0.29,927.75,0.54,0.02,8.94,-0.00,-0.02,0.02
6960,-22.286902,-42.542289,8,862.80,2025/5/15,12:6:14,-0.11,927.73,0.57,0.09,8.98,-0.00,-0.01,0.02
