millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz,pqd
7060,-22.590936,-42.764552,10,11.70,N/A,13:30:11,-0.10,1026.58,1.99,9.19,0.83,-0.08,0.01,0.00,0
7260,-22.590936,-42.764552,10,11.70,N/A,13:30:11,0.03,1026.57,1.91,9.36,0.71,-0.06,0.02,0.03,0
7460,-22.590936,-42.764552,10,11.70,N/A,13:30:11,-0.11,1026.59,1.99,9.40,0.89,-0.08,0.06,0.02,0
7660,-22.590936,-42.764552,10,11.70,N/A,13:30:11,-0.11,1026.59,1.79,9.26,0.91,-0.09,0.03,0.02,0
7911,-22.590937,-42.764552,10,11.70,2025/6/2,13:30:13,-0.30,1026.61,1.94,9.57,1.23,-0.12,0.03,0.07,0
8137,-22.590937,-42.764552,10,11.80,2025/6/2,13:30:13,-0.20,1026.60,1.87,9.23,1.58,0.04,0.09,0.09,0
8363,-22.590937,-42.764552,10,11.80,2025/6/2,13:30:13,-0.16,1026.59,1.18,9.27,-0.17,0.33,0.46,0.14,0
8594,-22.590937,-42.764552,10,11.80,2025/6/2,13:30:13,-0.04,1026.58,1.55,9.39,-0.59,0.22,-0.14,-0.01,0
8826,-22.590937,-42.764552,10,11.80,2025/6/2,13:30:13,-0.04,1026.58,1.38,9.37,0.12,0.08,0.04,0.07,0
9065,-22.590942,-42.764551,10,11.80,2025/6/2,13:30:14,-0.21,1026.60,2.04,9.42,-0.40,0.04,0.03,0.08,0
9301,-22.590942,-42.764551,10,11.80,2025/6/2,13:30:14,-0.37,1026.62,1.85,9.60,-0.48,-0.23,-0.19,0.15,0
9540,-22.590942,-42.764551,10,11.80,2025/6/2,13:30:14,-0.43,1026.62,2.80,9.02,0.21,-0.15,-0.02,0.11,0
9768,-22.590942,-42.764551,10,11.80,2025/6/2,13:30:14,-0.25,1026.60,2.56,9.41,0.44,-0.00,0.02,0.01,0
10003,-22.590942,-42.764549,10,11.70,2025/6/2,13:30:15,-0.23,1026.60,1.96,9.46,0.39,-0.13,0.05,0.03,0
10241,-22.590942,-42.764549,10,11.70,2025/6/2,13:30:15,-0.38,1026.62,2.10,9.40,0.48,0.02,-0.03,-0.00,0
10489,-22.590942,-42.764549,10,11.70,2025/6/2,13:30:15,-0.19,1026.60,2.16,9.45,0.26,-0.08,-0.05,0.02,0
10731,-22.590942,-42.764549,10,11.70,2025/6/2,13:30:15,-0.19,1026.60,2.16,9.29,0.44,-0.06,0.00,0.06,0
